frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
35,2.0,[2359.87353515625 1024.1954345703125 3551.212890625 1712.7650146484375],[3017.965576171875 1518.8851318359375 3317.013427734375 1613.2576904296875],0.6528946161270142,MI899FM,0.6420048274938565
36,3.0,[1302.74169921875 1001.9058837890625 2224.55712890625 1733.9630126953125],[1588.9420166015625 1528.8848876953125 1890.4046630859375 1626.1505126953125],0.7606464624404907,MI589FN,0.9976853739336398
36,1.0,[64.06867980957031 977.9261474609375 1321.1156005859375 1696.2821044921875],[292.62591552734375 1377.111083984375 582.4356689453125 1475.903076171875],0.7475810050964355,MI399CT,0.9811677503957454
37,3.0,[1303.884033203125 1002.5838623046875 2224.34814453125 1735.1248779296875],[1591.2249755859375 1529.3291015625 1889.8626708984375 1626.847412109375],0.7651488184928894,MI589FN,0.9679797689196121
37,1.0,[63.910667419433594 979.3006591796875 1321.33935546875 1697.0946044921875],[293.2984924316406 1377.068115234375 582.5125122070312 1477.8482666015625],0.7499181628227234,M15399CI,0.8205539419286262
38,3.0,[1304.3045654296875 1003.2144775390625 2224.0693359375 1735.021240234375],[1591.248046875 1529.972412109375 1890.410888671875 1630.022216796875],0.7614067196846008,MI589FN,0.9983107172953732
38,1.0,[64.17000579833984 980.4322509765625 1321.60009765625 1697.8531494140625],[295.83056640625 1376.938720703125 582.73046875 1479.645751953125],0.7526494860649109,MI399CI,0.6925088148243462
38,2.0,[2360.365234375 1023.6466064453125 3557.67626953125 1718.3216552734375],[3024.017578125 1521.679931640625 3315.017578125 1614.5263671875],0.6775909066200256,MI899FM,0.971857112795431
39,3.0,[1305.566650390625 1003.2450561523438 2223.89404296875 1735.37548828125],[1593.9473876953125 1529.062744140625 1892.2305908203125 1630.543701171875],0.763250470161438,MI589FN,0.9966045435253248
39,1.0,[64.50436401367188 981.0372314453125 1321.6051025390625 1696.7342529296875],[298.88751220703125 1377.888671875 583.2210083007812 1480.59033203125],0.759620726108551,MI399CT,0.9945248442354733
40,3.0,[1306.486328125 1003.7728271484375 2223.861328125 1737.8701171875],[1592.414794921875 1528.976806640625 1891.9771728515625 1629.996826171875],0.7613644003868103,MI589FN,0.9987688464306204
40,1.0,[65.66961669921875 983.1285400390625 1322.1951904296875 1697.0648193359375],[296.855712890625 1377.3204345703125 584.64208984375 1481.6259765625],0.7587292790412903,MI7399CT,0.37979442501550903
41,3.0,[1306.40478515625 1005.1748657226562 2224.624755859375 1738.8809814453125],[1592.750244140625 1528.9390869140625 1891.692626953125 1629.988037109375],0.7601791024208069,MI589FN,0.8992165611873822
